SQL Job,User,,,,,
Notify Event - Shipment Notification,SUMMERCLASSICS\SqlAgentUser,,,,,
B2C Website - Product Data Feed,SUMMERCLASSICS\SqlAgentUser,,,,,
Update Retail Cushion Prices,SUMMERCLASSICS\SqlAgentUser,,,,,
Update Notify Event Dispatch Note Created,SUMMERCLASSICS\SqlAgentUser,,,,,
Sugar CRM Export,SUMMERCLASSICS\SqlAgentUser,,,,,
Purge Log - LogiSolutions,SUMMERCLASSICS\SqlAgentUser,,,,,
Load MRP,SUMMERCLASSICS\SqlAgentUser,,,,,
QCommissions_Weekly,SUMMERCLASSICS\SqlAgentUser,,,,,
3PL Freight Providers - Fidelitone File,SUMMERCLASSICS\SqlAgentUser,,,,,
Datafeed - eCommerce - Wayfair - SCW - Inventory,SUMMERCLASSICS\SqlAgentUser,,,,,
Update Available Inventory for Stores,SUMMERCLASSICS\SqlAgentUser,,,,,
B2C Website - Inventory Data Feeds_OLD,SUMMERCLASSICS\SqlAgentUser,,,,,
Update InvMaster and Pricing,SUMMERCLASSICS\SqlAgentUser,,,,,
Datafeed - eCommerce - Houzz - Gabby - Inventory,SUMMERCLASSICS\SqlAgentUser,,,,,
Uniters,SUMMERCLASSICS\SqlAgentUser,,,,,
MaintenancePlan_Delete_BackupHistory.Subplan_1,SUMMERCLASSICS\SqlAgentUser,,,,,
Refresh AD User,SUMMERCLASSICS\SqlAgentUser,,,,,
Datafeed - eCommerce - Houzz - SCW - Inventory,SUMMERCLASSICS\SqlAgentUser,,,,,
Datafeed - Accounting - All Factors - Credit Request (Production),SUMMERCLASSICS\SqlAgentUser,,,,,
Update UserField3 for Company 100,SUMMERCLASSICS\SqlAgentUser,,,,,
B2C - Sales Order Report FTP Transfer,SUMMERCLASSICS\SqlAgentUser,,,,,
QCommission FTP,SUMMERCLASSICS\SqlAgentUser,,,,,
eCat Upload - Summer Classics Retail (Options Option Groups Products Matrix Options Stories Kit Items),SUMMERCLASSICS\SqlAgentUser,,,,,
Datafeed - eCommerce - SPS - Incoming (Production),SUMMERCLASSICS\SqlAgentUser,,,,,
Update Available / Order Allocation and eCat Invoice / Order / Sentinel (0600),SUMMERCLASSICS\SqlAgentUser,,,,,
Update SYSPRO Search Data,SUMMERCLASSICS\SqlAgentUser,,,,,
Purge Log - SYSPRO AdmSignatureLog,SUMMERCLASSICS\SqlAgentUser,,,,,
eCat Upload - Summer Classics Wholesale (Contract Prices),SUMMERCLASSICS\SqlAgentUser,,,,,
Datafeed - Accounting - Wells Fargo - Positive Pay (Production),SUMMERCLASSICS\SqlAgentUser,,,,,
eCat Upload - Summer Classics Retail (Inventory),SUMMERCLASSICS\SqlAgentUser,,,,,
High Point Split Order,SUMMERCLASSICS\SqlAgentUser,,,,,
eCat Upload - Summer Classics Wholesale (Inventory),SUMMERCLASSICS\SqlAgentUser,,,,,
eCat Download - Summer Classics Retail (User),SUMMERCLASSICS\SqlAgentUser,,,,,
Update SorDetail LineShipDate and CustRequestDat,SUMMERCLASSICS\SqlAgentUser,,,,,
Audit Logging - PRODUCT_INFO (05 Minute),SUMMERCLASSICS\SqlAgentUser,,,,,
QCommissions_Daily,SUMMERCLASSICS\SqlAgentUser,,,,,
eCat Upload - Gabby (Inventory),SUMMERCLASSICS\SqlAgentUser,,,,,
RunSSISPackage,SUMMERCLASSICS\SqlAgentUser,,,,,
eCat Download - Summer Classics Wholesale (Order),SUMMERCLASSICS\SqlAgentUser,,,,,
Audit Logging - SysproCompany100 (60 Minute),SUMMERCLASSICS\SqlAgentUser,,,,,
Datafeed - eCommerce - Wayfair - Gabby - Inventory,SUMMERCLASSICS\SqlAgentUser,,,,,
Update Active Directory Users,SUMMERCLASSICS\SqlAgentUser,,,,,
Check for Failed Jobs,SUMMERCLASSICS\SqlAgentUser,,,,,
B2C Website - Update Unit Sold by Stock Code,SUMMERCLASSICS\SqlAgentUser,,,,,
Datafeed - eCommerce - Bellacor - Gabby - Inventory,SUMMERCLASSICS\SqlAgentUser,,,,,
eCat Upload - Summer Classics Wholesale (Customers),SUMMERCLASSICS\SqlAgentUser,,,,,
eCat Download - Gabby (User),SUMMERCLASSICS\SqlAgentUser,,,,,
Update M-Files Reference Data (Full Refresh),SUMMERCLASSICS\SqlAgentUser,,,,,
Integration - Accounting - Wells Fargo - Cash Book Transaction,SUMMERCLASSICS\SqlAgentUser,,,,,
eCat Download - Summer Classics Contract (User),SUMMERCLASSICS\SqlAgentUser,,,,,
Update SchCompDate,SUMMERCLASSICS\SqlAgentUser,,,,,
Purge Log - SSIS Execution History,SUMMERCLASSICS\SqlAgentUser,,,,,
Datafeed - eCommerce - Bellacor - Gabby - Inventory - New,SUMMERCLASSICS\SqlAgentUser,,,,,
Collect Table Usage Stats,SUMMERCLASSICS\SqlAgentUser,,,,,
